x,y,z,vx,vy,vz,ax,ay,az,DTMode
0.012383943,-0.0005692342,-0.06440076,-0.0070004943,0.008724223,0.005675645,0.45812246,0.46560574,0.31087643,2_3
0.012256804,-0.0010794537,-0.06480206,-0.009964619,0.004687657,0.0026834155,-0.7118542,-0.74684745,-0.28474763,2_3
0.012046898,-0.0016661389,-0.06535671,-0.008710334,0.0074650864,0.002147857,-0.04986546,0.25302622,-0.0061137,2_3
0.0117567675,-0.0021160776,-0.065847754,-0.010606536,0.0037682466,0.00069091417,-0.20586497,-0.54111004,-0.08392159,2_3
0.011268802,-0.0024875663,-0.066358864,-0.010620271,0.008576429,0.0006420547,0.48344576,0.9274778,-0.106567845,2_3
0.010757328,-0.0026990154,-0.066896416,-0.011109542,0.00635306,-0.0006063011,0.05422691,-0.13020869,-0.09762224,2_3
0.01017393,-0.0027674895,-0.06740201,-0.014240654,0.006331471,-1.889377e-06,-0.36140984,-0.23856257,0.10749208,2_3
0.009659328,-0.0028501006,-0.06785577,-0.014388096,0.00365575,-0.0012467301,0.10084037,-0.6395911,0.16105318,2_3
0.009122173,-0.0029055525,-0.0682981,-0.015382185,0.004324311,-0.002780626,-0.29405874,-0.08318863,-0.12555952,2_3
0.008648221,-0.0027934415,-0.068703994,-0.015880065,0.005038323,-0.0033592593,-0.048534352,-1.3844098,-0.22266759,2_3
0.008221582,-0.0025907503,-0.06902435,-0.014685479,0.009991703,-0.0039364137,-0.1881998,-1.4579344,-0.59043145,2_3
0.00798713,-0.002460707,-0.069371186,-0.014114167,0.011489923,-0.00086231815,-0.31635985,0.5282868,0.43581778,2_3
0.007914574,-0.002652749,-0.069734156,-0.014008651,-0.003560358,-0.0056720506,-0.36758715,-0.30243903,-0.9447233,2_3
0.007783992,-0.004033585,-0.070381895,-0.020492038,-0.018778441,-0.010622749,0.018736295,-0.3678171,0.44561505,2_3
0.007180021,-0.009335987,-0.07336133,-0.02960338,-0.068056375,-0.05777745,0.019253649,-1.1067355,-0.87103367,2_3
0.005074296,-0.019569628,-0.082336426,-0.04990589,-0.112712905,-0.13277397,-0.77643603,0.14279482,0.06307418,2_3
0.0010907535,-0.034881894,-0.10029655,-0.05441323,-0.14208084,-0.22520508,0.8552996,-0.18773502,-0.13079779,2_3
-0.0048635374,-0.055570558,-0.12959051,-0.06980468,-0.19919185,-0.3233627,-1.038281,-0.98785716,-1.158647,2_3
-0.011430644,-0.07686632,-0.16386376,-0.071747586,-0.22442517,-0.39186895,-0.15293992,0.026323104,-2.4635122,2_3
-0.021322574,-0.103521146,-0.21580091,-0.08350927,-0.19186509,-0.43697765,-0.68670595,-0.28922868,-0.87785447,2_3
-0.03131457,-0.12457362,-0.2641639,-0.08699046,-0.1889781,-0.410517,-0.8034633,-0.87814283,1.2055395,2_3
-0.040978868,-0.14182375,-0.30960703,-0.07398402,-0.15487446,-0.37477988,0.97810656,2.5729244,0.80618376,2_3
-0.049178444,-0.15450537,-0.35066888,-0.05969254,-0.12650828,-0.33683905,-0.28518596,-0.14274684,-0.18206818,2_3
-0.054982297,-0.16301276,-0.3862066,-0.044894557,-0.12105178,-0.30336288,-0.7789798,-1.3764046,0.55305403,2_3
-0.058319505,-0.16861044,-0.41771913,-0.025901964,-0.084745556,-0.27874982,-0.54876584,1.9686986,0.25400093,2_3
-0.05916646,-0.17104654,-0.44092003,-0.009210216,-0.06879294,-0.2585702,0.39622888,0.62255174,0.23559968,2_3
-0.057711307,-0.17143376,-0.46289545,0.005344165,-0.060759872,-0.23663913,-0.47840974,-1.3357899,-0.55096537,2_3
-0.05354792,-0.16897246,-0.48107925,0.027150363,-0.01762817,-0.20946251,0.7186957,2.2138884,0.08148093,2_3
-0.048288893,-0.16459107,-0.49446154,0.03401695,-0.0006270753,-0.18856138,0.47381592,-0.64320797,1.2463846,2_3
-0.04260358,-0.15978818,-0.50575143,0.037822336,0.004917398,-0.18434559,0.2194288,-1.7204071,0.67438823,2_3
-0.035748728,-0.15411639,-0.51719457,0.045515843,0.013347307,-0.1785136,1.1550317,2.2066076,1.4385712,2_3
-0.029728215,-0.1491202,-0.52897525,0.043952733,0.02955857,-0.18767345,-0.026442042,0.17523141,0.020372754,2_3
-0.024152467,-0.14432156,-0.54212874,0.042576037,0.02247749,-0.18940309,-0.6225804,-1.4608976,-0.08705053,2_3
-0.019490879,-0.1398527,-0.5566367,0.04018251,0.028862022,-0.18964109,0.52040213,0.3384812,0.002512959,2_3
-0.015701985,-0.1357877,-0.5728186,0.039921455,0.044502586,-0.18703368,0.41102052,1.9007983,0.8218331,2_3
-0.0125403935,-0.1317563,-0.59057325,0.036278713,0.038343873,-0.18830162,0.5610701,-0.46477082,1.0603211,2_3
-0.010222436,-0.12940517,-0.6093688,0.032863494,0.019158963,-0.19444086,-0.6867508,0.1494475,0.62049127,2_3
-0.00840193,-0.1285474,-0.63042575,0.038460396,0.029746927,-0.19222909,0.17485891,1.2779838,-0.6897794,2_3
-0.006950882,-0.12836644,-0.65048873,0.03962187,0.02825967,-0.17686762,0.21070793,-0.50070006,-0.2368352,2_3
-0.005498177,-0.12788352,-0.6690755,0.03467381,0.023966908,-0.17225383,-0.18349849,-0.34964547,-0.33616528,2_3
-0.00388974,-0.12692906,-0.6901212,0.04024325,0.044376157,-0.15276515,0.9685689,0.73107725,1.1916499,2_3
-0.0022353018,-0.12524796,-0.7067078,0.037854247,0.051329233,-0.15108953,-0.8458312,0.38192216,-0.7037712,2_3
-0.00013792152,-0.12265835,-0.7249993,0.04119641,0.045695696,-0.13842839,-0.4386063,1.2456572,-1.1231308,2_3
0.0020061545,-0.120183304,-0.7408467,0.0390537,0.046162292,-0.12699293,-0.7285509,1.9279695,0.079765186,2_3
0.0042090267,-0.11817042,-0.7558823,0.036099903,0.031800464,-0.12505332,-0.35201848,-0.43478584,-0.3420219,2_3
0.0066066636,-0.11727765,-0.76976293,0.038233723,0.01517465,-0.11207457,-0.2768764,-0.2037312,-0.52695847,2_3
0.009182138,-0.1171015,-0.7816187,0.036200386,0.012633409,-0.10303692,-0.44098076,1.081432,0.84956926,2_3
0.01258571,-0.117691875,-0.7947923,0.041832432,0.0066249436,-0.095141225,-0.20328946,-1.0497357,0.23686868,2_3
0.016044907,-0.118944004,-0.80596113,0.043888867,0.00097589206,-0.08175298,0.5451276,0.86985457,1.7639762,2_3
0.019378658,-0.119908445,-0.815497,0.040453408,-0.002823981,-0.085528776,-0.35501704,-0.5940788,0.7464883,2_3
0.023966629,-0.12088608,-0.8265659,0.04653318,0.0023692888,-0.04962642,-0.32152265,-1.1603172,1.9089333,2_6
0.02799939,-0.12168755,-0.8299597,0.046269707,-0.00763022,0.014286538,-0.21629141,-0.76723284,-0.10200393,2_6
0.032862492,-0.123609096,-0.8268388,0.049392715,-0.011498896,0.07244901,-0.23793253,-0.14451092,-1.0935422,2_6
0.03742811,-0.12634349,-0.81966627,0.05196346,-0.0272211,0.10222433,0.8130686,-0.17077908,1.1587129,2_6
0.04237342,-0.13018988,-0.8096545,0.04986386,-0.04609494,0.10703957,0.48554298,-1.6058547,0.32977548,2_6
0.047248267,-0.1352329,-0.79881734,0.047800124,-0.053148497,0.10177683,0.5841297,0.5388904,-0.2507477,2_6
0.051821362,-0.1405493,-0.7886787,0.042633433,-0.048669837,0.09290961,-1.0916951,0.57456595,-0.60198087,2_6
0.056712385,-0.1467628,-0.7784766,0.03919278,-0.059720855,0.084577076,-0.87472844,-0.32509997,-0.8221006,2_6
0.06083222,-0.15249696,-0.7707217,0.040820375,-0.05257544,0.07568365,0.8721992,0.72378516,-0.24883264,2_6
0.064361006,-0.1581369,-0.76557916,0.031743485,-0.05232779,0.05887746,0.092138216,-0.10237189,0.27763757,2_6
0.066667214,-0.16265246,-0.7633777,0.024878778,-0.054485474,0.053208914,1.0901078,-0.3840946,2.2493963,2_6
0.06863372,-0.16755188,-0.76246935,0.015283285,-0.048448395,0.03953308,0.2584709,0.2138236,0.35492346,2_6
0.069594964,-0.17224768,-0.7630393,0.006947272,-0.06306017,0.026584513,-0.037643082,-0.8278001,0.27071762,2_6
0.069601186,-0.177509,-0.7651887,0.000959173,-0.0814796,0.0104017425,0.22221115,-0.5602875,0.18387483,2_6
0.068851985,-0.18397288,-0.7691164,-0.0064064856,-0.08311733,-8.737238e-05,-1.0602181,0.819865,-0.7520144,2_6
0.06745396,-0.19118413,-0.7743592,-0.009830326,-0.085081756,-0.0051061525,0.4906741,-0.35018128,0.6659287,2_6
0.06573518,-0.19819601,-0.7794629,-0.011129978,-0.08928559,0.0016010946,0.690768,-0.68782955,0.5527303,2_6
0.06364901,-0.20459802,-0.7839433,-0.013869843,-0.080091655,0.010110547,1.797137,1.4695597,0.6576606,2_6
0.061162975,-0.21093312,-0.78725135,-0.025262458,-0.08111947,0.010934008,-1.3044024,-0.75963163,-0.2760113,2_6
0.058550816,-0.21727392,-0.78911185,-0.027404694,-0.09030323,0.015681446,-0.3295719,-1.2406279,-0.20259014,2_6
0.05567271,-0.22399043,-0.78979725,-0.02581169,-0.08589711,0.018132687,0.9974056,0.94530684,0.45775455,2_6
0.05276222,-0.22994399,-0.78988194,-0.035944767,-0.07532467,0.01538001,-1.2177199,-0.2498388,0.1582928,2_6
0.04992774,-0.23527709,-0.78927857,-0.031210583,-0.076586604,0.016347518,0.15361655,-0.32347694,0.78888315,2_6
0.04718643,-0.24046491,-0.78829545,-0.029411623,-0.0701071,0.01220873,-0.60337275,0.29115963,-0.84483933,2_6
0.045042362,-0.24441448,-0.7870876,-0.022139736,-0.05798963,0.020940572,1.6936977,1.5416324,1.2375103,2_6
0.042764053,-0.24826539,-0.78544813,-0.025665348,-0.05550923,0.012335186,-0.23672803,0.766034,-0.51952267,2_6
0.040837202,-0.25087166,-0.78406847,-0.026950778,-0.041422136,0.010905648,-0.7287065,1.7803919,-0.1606855,2_6
0.03915719,-0.2524518,-0.78298825,-0.02424331,-0.033902396,0.004994815,-0.503271,1.4702513,-1.6075159,2_6
