timestamp,timestamp_sample,vibe[0],vibe[1],vibe[2],output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
691000,691000,1.489861e-11,4.132355e-06,0.006321365,1.15522835e-05,0.0006479146,5.8861283e-06,512,0,0.70622146,3.5000029,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
703000,703000,1.5252377e-11,4.173888e-06,0.006232929,1.3236473e-05,0.000847117,1.3629908e-05,512,0,0.7097526,3.5000114,0.0,nan,nan,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
879000,879000,1.7768344e-11,4.7112276e-06,0.007520986,7.480063e-05,0.00022988791,0.0023324536,512,0,1.3338645,1.5656834,0.0,nan,nan,1.8520828e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1092000,1092000,1.9930274e-11,5.253513e-06,0.007563752,1.5428755e-05,0.000272908,0.005082775,512,0,1.202546,1.1693277,0.0,nan,nan,6.9855514e-06,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1285000,1285000,2.3260373e-11,5.7971056e-06,0.008740221,3.7859027e-06,0.00021981743,0.0016902164,512,0,0.94969237,1.0181954,0.0,nan,nan,0.00040945306,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1484000,1484000,2.6988885e-11,6.694093e-06,0.010565515,3.0823912e-06,0.00041867123,0.0017387088,512,0,0.8086403,0.8908557,0.0,nan,nan,0.0017852215,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1692000,1692000,2.6328318e-11,6.6326766e-06,0.0120955175,1.0534305e-05,0.0005074056,0.001970502,512,0,0.7414255,0.8136743,0.0,nan,nan,0.0006364118,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
1892000,1892000,2.752057e-11,6.974289e-06,0.01630541,7.57206e-06,0.00029380518,0.00087862794,512,0,0.68059444,0.76274514,0.0,nan,nan,0.00043834717,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2092000,2092000,2.9457006e-11,6.8246068e-06,0.016054899,2.67501e-06,0.0007104912,0.0024552103,512,0,0.67513025,0.73547506,0.0,nan,nan,0.0011488728,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
2291000,2291000,2.5945994e-11,6.602515e-06,0.015246942,1.28993925e-05,0.00033165485,0.00083708554,512,0,0.6594961,0.7180345,0.0,nan,nan,0.00096020766,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,228,1,0,1,0,1,0,0,0,0,0,0,0
