timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
415000,391000,6620172,49.91267,14.67573,100726.92,1.2189412
468000,445000,6620172,49.94084,14.675239,100726.555,1.2189394
520000,495923,6620172,49.94084,14.675264,100726.56,1.2189387
572000,546916,6620172,49.936146,14.675353,100726.63,1.2189374
623000,599818,6620172,49.94084,14.675202,100726.6,1.2189372
676000,652800,6620172,49.926754,14.675862,100726.74,1.2189423
728000,703166,6620172,49.91267,14.675769,100726.94,1.2189449
780000,755166,6620172,49.926754,14.676062,100726.75,1.2189413
832000,808416,6620172,49.954926,14.67511,100726.414,1.2189388
884000,861250,6620172,49.95023,14.675319,100726.47,1.2189382
936000,911833,6620172,49.95023,14.675003,100726.47,1.2189378
992000,963846,6620172,49.936146,14.676121,100726.664,1.2189362
1043000,1019250,6620172,49.90328,14.675266,100726.99,1.218942
1096000,1072500,6620172,49.945534,14.675679,100726.516,1.2189384
1147000,1122363,6620172,49.94084,14.67546,100726.55,1.2189392
1203000,1176083,6620172,49.922062,14.675955,100726.83,1.218938
1259000,1231272,6620172,49.964314,14.674697,100726.33,1.2189376
1309000,1285222,6620172,49.90328,14.675144,100727.01,1.218941
1360000,1340111,6620172,49.964314,14.675172,100726.3,1.2189368
1411000,1388181,6620172,49.95962,14.674987,100726.37,1.2189361
1468000,1441750,6620172,49.922062,14.675775,100726.79,1.218944
1520000,1494818,6620172,49.954926,14.675151,100726.445,1.2189385
1571000,1547454,6620172,49.945534,14.674859,100726.51,1.218938
1622000,1598200,6620172,49.936146,14.675866,100726.65,1.2189362
1675000,1650000,6620172,49.93145,14.6758375,100726.72,1.2189403
1725000,1701727,6620172,49.936146,14.676008,100726.63,1.2189381
1775000,1756250,6620172,49.94084,14.675054,100726.6,1.2189412
1828000,1801545,6620172,49.93145,14.675874,100726.69,1.2189393
1879000,1854600,6620172,49.96901,14.675472,100726.24,1.2189335
1932000,1908909,6620172,49.964314,14.674971,100726.3,1.2189376
1984000,1960900,6620172,49.954926,14.674809,100726.445,1.2189381
2036000,2009818,6620172,49.917366,14.675989,100726.86,1.2189419
2088000,2064727,6620172,49.96901,14.675239,100726.234,1.2189339
2140000,2116600,6620172,49.945534,14.676213,100726.5,1.2189387
2191000,2169000,6620172,49.917366,14.675943,100726.875,1.218939
2243000,2217909,6620172,49.954926,14.675033,100726.44,1.218936
2300000,2270666,6620172,49.95023,14.675079,100726.47,1.2189337
2351000,2327090,6620172,49.983097,14.674887,100726.055,1.2189314
2403000,2380500,6620172,49.973705,14.675006,100726.21,1.2189347
2459000,2433000,6620172,49.94084,14.675628,100726.55,1.2189395
2512000,2488300,6620172,49.936146,14.676134,100726.63,1.2189358
2565000,2538166,6620172,49.94084,14.674975,100726.59,1.2189384
2615000,2592600,6620172,49.945534,14.675798,100726.484,1.2189394
2672000,2643333,6620172,49.96901,14.67471,100726.24,1.218931
2723000,2702090,6620172,49.91267,14.675986,100726.914,1.2189415
2776000,2750909,6620172,49.94084,14.675035,100726.58,1.2189415
2828000,2802200,6620172,49.94084,14.675388,100726.58,1.2189413
2881000,2853909,6620172,49.90328,14.675681,100727.02,1.2189422
2932000,2909200,6620172,49.922062,14.675423,100726.77,1.2189379
2983000,2958300,6620172,49.917366,14.676001,100726.88,1.2189391
3035000,3013818,6620172,49.95962,14.676039,100726.35,1.2189369
3091000,3063100,6620172,49.922062,14.676027,100726.77,1.2189413
3143000,3120600,6620172,49.95962,14.675286,100726.38,1.2189356
3199000,3170833,6620172,49.922062,14.675223,100726.78,1.2189401
3251000,3227666,6620172,49.945534,14.675023,100726.49,1.2189373
3304000,3281272,6620172,49.936146,14.675912,100726.63,1.218938
3356000,3331916,6620172,49.922062,14.675793,100726.81,1.2189378
3407000,3383600,6620172,49.954926,14.6748085,100726.43,1.218938
3460000,3434833,6620172,49.945534,14.674996,100726.516,1.2189355
3512000,3487333,6620172,49.926754,14.674876,100726.75,1.2189387
3564000,3539272,6620172,49.94084,14.675365,100726.57,1.2189375
3615000,3590500,6620172,49.95023,14.67524,100726.47,1.2189381
3665000,3642100,6620172,49.917366,14.676047,100726.875,1.2189413
3719000,3696300,6620172,49.93145,14.675587,100726.68,1.2189401
3772000,3747769,6620172,49.917366,14.67596,100726.89,1.2189438
3824000,3799583,6620172,49.94084,14.675542,100726.55,1.2189375
3875000,3850909,6620172,49.91267,14.675697,100726.96,1.2189422
3927000,3904272,6620172,49.93145,14.674719,100726.734,1.2189407
3980000,3954900,6620172,49.936146,14.675505,100726.63,1.2189373
4030000,4007444,6620172,49.917366,14.676126,100726.86,1.2189406
4083000,4058272,6620172,49.96901,14.675362,100726.25,1.2189336
4135000,4111454,6620172,49.922062,14.674726,100726.82,1.2189428
4188000,4161500,6620172,49.94084,14.67584,100726.59,1.218936
4247000,4213777,6620172,49.9784,14.67621,100726.14,1.2189313
4297000,4272100,6620172,49.936146,14.675352,100726.66,1.2189424
4347000,4326500,6620172,49.945534,14.675858,100726.484,1.21894
4398000,4372900,6620172,49.954926,14.674907,100726.44,1.218935
4448000,4425700,6620172,49.945534,14.674931,100726.52,1.2189376
4500000,4475846,6620172,49.94084,14.675719,100726.58,1.2189393
4552000,4528000,6620172,49.907974,14.676202,100726.98,1.2189436
4604000,4580500,6620172,49.922062,14.67621,100726.79,1.2189415
4656000,4632272,6620172,49.954926,14.675212,100726.44,1.2189366
4708000,4685181,6620172,49.94084,14.675592,100726.586,1.2189395
4759000,4735090,6620172,49.917366,14.676221,100726.875,1.2189406
4812000,4787692,6620172,49.96901,14.676008,100726.26,1.2189348
4864000,4840583,6620172,49.94084,14.675849,100726.56,1.2189399
4916000,4892416,6620172,49.954926,14.674961,100726.414,1.2189368
4967000,4945818,6620172,49.94084,14.675176,100726.57,1.2189366
5020000,4996250,6620172,49.917366,14.675975,100726.88,1.2189424
5072000,5048400,6620172,49.922062,14.674942,100726.83,1.2189444
5125000,5098416,6620172,49.95023,14.674924,100726.46,1.2189358
5176000,5154727,6620172,49.94084,14.675622,100726.555,1.2189378
5227000,5201636,6620172,49.90328,14.675517,100727.01,1.2189453
5279000,5256800,6620172,49.964314,14.675153,100726.29,1.2189379
5331000,5305454,6620172,49.926754,14.676068,100726.766,1.2189404
5383000,5362900,6620172,49.917366,14.675799,100726.88,1.2189436
5435000,5411500,6620172,49.926754,14.675739,100726.76,1.2189393
5488000,5462583,6620172,49.945534,14.67477,100726.516,1.2189379
5539000,5515461,6620172,49.936146,14.674934,100726.66,1.2189364
5591000,5566666,6620172,49.95023,14.675789,100726.47,1.2189393
5644000,5618727,6620172,49.93145,14.6761055,100726.68,1.2189387
5696000,5673545,6620172,49.936146,14.675045,100726.63,1.2189362
5748000,5725909,6620172,49.922062,14.675573,100726.82,1.2189394
5800000,5775000,6620172,49.91267,14.674783,100726.91,1.21894
5851000,5827750,6620172,49.91267,14.675692,100726.914,1.2189409
5903000,5880181,6620172,49.95962,14.67514,100726.375,1.2189336
5956000,5930181,6620172,49.922062,14.6759405,100726.81,1.2189401
6008000,5983538,6620172,49.93145,14.676003,100726.7,1.2189391
6059000,6035333,6620172,49.922062,14.675546,100726.77,1.2189395
6111000,6090454,6620172,49.922062,14.675767,100726.82,1.2189381
6164000,6140500,6620172,49.94084,14.67539,100726.6,1.2189412
6220000,6192909,6620172,49.93145,14.676142,100726.72,1.21894
6276000,6248222,6620172,50.001877,14.674923,100725.85,1.2189314
6327000,6305181,6620172,49.91267,14.67574,100726.93,1.2189432
6380000,6356250,6620172,49.954926,14.67483,100726.414,1.2189367
6432000,6408000,6620172,49.917366,14.67594,100726.88,1.2189415
6484000,6460909,6620172,49.954926,14.675795,100726.445,1.2189393
6536000,6511000,6620172,49.95962,14.675617,100726.36,1.2189355
6588000,6564545,6620172,49.917366,14.675291,100726.86,1.2189401
6639000,6614416,6620172,49.95962,14.675283,100726.34,1.2189356
6691000,6667000,6620172,49.95962,14.675924,100726.39,1.2189384
6743000,6719000,6620172,49.90328,14.675146,100726.99,1.2189411
6795000,6773272,6620172,49.922062,14.674818,100726.77,1.2189431
6848000,6824727,6620172,49.91267,14.676125,100726.914,1.2189413
6900000,6874000,6620172,49.954926,14.675691,100726.41,1.2189376
6951000,6927454,6620172,49.907974,14.675775,100726.97,1.2189418
7003000,6979461,6620172,49.91267,14.675409,100726.914,1.2189423
7056000,7031750,6620172,49.917366,14.675335,100726.88,1.2189409
7106000,7083454,6620172,49.94084,14.674903,100726.57,1.218938
7156000,7132800,6620172,49.936146,14.674997,100726.61,1.2189413
7211000,7185090,6620172,49.93145,14.675071,100726.695,1.2189376
7263000,7239000,6620172,49.93145,14.675071,100726.68,1.2189369
7315000,7293083,6620172,49.973705,14.675832,100726.195,1.2189324
7367000,7343454,6620172,49.917366,14.676019,100726.86,1.2189415
7420000,7396666,6620172,49.93145,14.674709,100726.72,1.2189381
7472000,7446090,6620172,49.945534,14.676205,100726.49,1.21894
7524000,7498666,6620172,49.936146,14.67514,100726.61,1.2189372
7575000,7552727,6620172,49.96901,14.675621,100726.266,1.2189361
7632000,7605818,6620172,49.945534,14.675269,100726.484,1.2189351
7688000,7661090,6620172,49.922062,14.67606,100726.78,1.2189418
7741000,7716076,6620172,49.94084,14.674684,100726.586,1.2189404
7796000,7771800,6620172,49.95962,14.674806,100726.336,1.2189333
7848000,7824454,6620172,49.922062,14.675091,100726.81,1.218939
7898000,7874583,6620172,49.973705,14.675582,100726.23,1.2189372
7951000,7926181,6620172,49.954926,14.67491,100726.44,1.2189348
8004000,7979250,6620172,49.954926,14.674763,100726.42,1.2189358
8055000,8028363,6620172,49.945534,14.674814,100726.51,1.218938
8105000,8082545,6620172,49.922062,14.676139,100726.8,1.2189441
8156000,8131600,6620172,49.90328,14.676134,100727.03,1.2189428
8208000,8182333,6620172,49.9784,14.675606,100726.15,1.2189357
8259000,8235727,6620172,49.917366,14.674844,100726.88,1.2189435
8312000,8288750,6620172,49.94084,14.67499,100726.58,1.2189415
8364000,8340000,6620172,49.917366,14.676187,100726.89,1.2189448
8416000,8390636,6620172,49.936146,14.676152,100726.62,1.2189393
8469000,8443384,6620172,49.91267,14.675308,100726.914,1.2189407
8520000,8498454,6620172,49.945534,14.675642,100726.52,1.2189357
8570000,8549900,6620172,49.90328,14.675898,100727.05,1.2189436
8620000,8596818,6620172,49.93145,14.674824,100726.69,1.218939
8672000,8645333,6620172,49.922062,14.675435,100726.8,1.218941
8724000,8701833,6620172,49.973705,14.675027,100726.18,1.2189331
8776000,8751000,6620172,49.96901,14.675059,100726.234,1.218934
8832000,8806000,6620172,49.9784,14.67538,100726.17,1.2189306
8887000,8859454,6620172,49.898586,14.676046,100727.07,1.2189409
8939000,8916200,6620172,49.90328,14.674948,100727.03,1.2189455
8992000,8969250,6620172,49.922062,14.675343,100726.8,1.2189393
9042000,9018916,6620172,49.922062,14.675122,100726.77,1.2189429
9092000,9068545,6620172,49.96901,14.675391,100726.25,1.2189374
9143000,9120090,6620172,49.95962,14.675134,100726.37,1.2189332
9196000,9172600,6620172,49.93145,14.675859,100726.71,1.2189404
9247000,9224700,6620172,49.926754,14.6757555,100726.74,1.2189405
