timestamp,alt_max,freefall,ground_contact,maybe_landed,landed,in_ground_effect,in_descend,has_low_throttle,vertical_movement,horizontal_movement,close_to_ground_or_skipped_check
508000,inf,0,1,1,1,0,0,1,1,0,1
1513000,inf,0,1,1,1,0,0,1,0,0,1
2523000,inf,0,1,1,1,0,0,1,0,0,1
3532000,inf,0,1,1,1,0,0,1,0,0,1
4536000,inf,0,1,1,1,0,0,1,0,0,1
5543000,inf,0,1,1,1,0,0,1,0,0,1
6545000,inf,0,1,1,1,0,0,1,0,0,1
7552000,inf,0,1,1,1,0,0,1,0,0,1
8556000,inf,0,1,1,1,0,0,1,0,0,1
9560000,inf,0,1,1,1,0,0,1,0,0,1
10576000,inf,0,1,1,1,0,0,1,0,0,1
11052000,inf,0,1,1,1,1,1,1,0,0,1
12063000,inf,0,1,1,1,1,1,1,0,0,1
13071000,inf,0,1,1,1,1,1,1,0,0,1
14075000,inf,0,1,1,1,1,1,1,0,0,1
15078000,inf,0,1,1,1,1,1,1,0,0,1
16080000,inf,0,1,1,1,1,1,1,0,0,1
17092000,inf,0,1,1,1,1,1,1,0,0,1
18095000,inf,0,1,1,1,1,1,1,0,0,1
18819000,inf,0,1,1,1,0,0,1,0,0,1
19825000,inf,0,1,1,1,0,0,1,0,0,1
20448000,inf,0,1,1,1,1,0,1,0,0,1
21191000,inf,0,1,0,0,1,0,1,0,0,1
21202000,inf,0,0,0,0,1,0,1,0,0,1
22209000,inf,0,0,0,0,1,0,0,0,0,1
23212000,inf,0,0,0,0,1,0,0,0,0,1
24212000,inf,0,0,0,0,1,0,0,0,0,1
25223000,inf,0,0,0,0,1,0,0,0,0,1
26192000,inf,0,0,0,0,0,0,0,0,0,1
27203000,inf,0,0,0,0,0,0,0,0,0,1
28211000,inf,0,0,0,0,0,0,0,0,0,1
29212000,inf,0,0,0,0,0,0,0,0,0,1
30219000,inf,0,0,0,0,0,0,0,0,0,1
31220000,inf,0,0,0,0,0,0,0,0,0,1
32232000,inf,0,0,0,0,0,0,0,0,0,1
33232000,inf,0,0,0,0,0,0,0,0,0,1
34243000,inf,0,0,0,0,0,0,0,0,0,1
35243000,inf,0,0,0,0,0,0,0,0,0,1
36251000,inf,0,0,0,0,0,0,0,0,0,1
37252000,inf,0,0,0,0,0,0,0,0,0,1
38252000,inf,0,0,0,0,0,0,0,0,0,1
39252000,inf,0,0,0,0,0,0,0,0,0,1
40259000,inf,0,0,0,0,0,0,0,0,0,1
41259000,inf,0,0,0,0,0,0,0,0,0,1
42263000,inf,0,0,0,0,0,0,0,0,0,1
43268000,inf,0,0,0,0,0,0,0,0,0,1
44271000,inf,0,0,0,0,0,0,0,0,0,1
45272000,inf,0,0,0,0,0,0,0,0,0,1
46156000,inf,0,0,0,0,1,1,0,1,0,1
47160000,inf,0,0,0,0,1,1,0,0,0,1
48079000,inf,0,1,0,0,1,1,1,0,0,1
48440000,inf,0,1,1,0,1,1,1,0,0,1
48787000,inf,0,1,1,1,1,1,1,0,0,1
49791000,inf,0,1,1,1,1,1,1,0,0,1
50799000,inf,0,1,1,1,1,1,1,0,0,1
