x,y,z,vx,vy,vz,ax,ay,az,DTMode
-0.05428936,-0.038612112,-0.7100322,-0.011863009,-0.0075400528,-0.13716553,-0.007653214,-0.019664029,0.76179576,2_6
-0.05550208,-0.040796775,-0.71257836,-0.009529545,-0.008136959,0.055955995,0.030648572,-0.0019795205,2.0498283,2_6
-0.057596613,-0.0434598,-0.693065,-0.00848183,-0.00832549,0.19616662,0.0071770293,0.012905416,0.64827937,2_6
-0.06045127,-0.044968545,-0.66658795,-0.006755032,-0.0070049986,0.19788471,0.010807037,0.015816782,-0.5127572,2_6
-0.06388995,-0.046024404,-0.6455955,-0.005960447,-0.004617034,0.12828499,0.025730742,0.023644906,-0.75457335,2_6
-0.06708821,-0.046901826,-0.6347447,-0.00560312,-0.0028864397,0.0686935,0.01935461,0.024098327,-0.40145516,2_6
-0.06850529,-0.04698439,-0.63082576,-0.0024087646,0.00048155547,0.04421276,0.027508836,0.06015731,-0.11831894,2_6
-0.06832733,-0.047064774,-0.6289969,0.002581413,0.0026999556,0.03703595,0.027319422,0.009172728,-0.08398759,2_6
-0.06815922,-0.046475545,-0.6282698,0.0047128205,0.0044803224,0.03589716,0.021723568,-0.004500626,0.020602511,2_6
-0.06888297,-0.045029346,-0.62722754,0.0056302403,0.005601565,0.0320019,0.016085077,0.019521784,-0.10047573,2_6
-0.06865869,-0.043652408,-0.62604487,0.006629283,0.0070140297,0.02597295,-0.012290156,0.0028167989,-0.085886985,2_6
-0.068533994,-0.04308575,-0.62527883,0.00797518,0.00758731,0.018691173,0.03357206,0.0018263941,-0.023361295,2_6
-0.06905098,-0.043274093,-0.62492514,0.008927348,0.0060553974,0.012189407,0.017850498,-0.032784503,-0.057676803,2_6
-0.06895566,-0.044049177,-0.62518734,0.008959054,0.0043769097,0.00823635,0.0141059095,-0.019955918,-0.0393372,2_6
-0.06903772,-0.04484488,-0.6256645,0.00939878,0.0038996334,0.0026859117,0.009927269,0.024802752,-0.05513895,2_6
-0.0686883,-0.045643385,-0.62651956,0.010317643,0.004123747,-0.000679634,-0.010707467,0.014433942,0.007820129,2_6
-0.06765921,-0.045672618,-0.6276017,0.009867987,0.0035927447,-0.0028904183,-0.02463122,-0.010042102,-0.051444132,2_6
-0.067098595,-0.044753194,-0.6293163,0.009663541,0.0046632625,-0.005735829,-0.019315554,0.00860086,-0.019742975,2_6
-0.066170104,-0.04358343,-0.6309862,0.010580634,0.005586051,-0.008764469,0.008355187,0.014646383,0.024801742,2_6
-0.06384702,-0.0411554,-0.63357514,0.01285045,0.007646142,-0.010424131,-0.0003017045,0.01668938,0.027868152,2_6
-0.061949745,-0.038758285,-0.6359015,0.013961336,0.00812693,-0.009868473,0.0012240788,-0.003853517,-0.019080935,2_6
-0.05984292,-0.037184827,-0.6379671,0.013855073,0.0066869836,-0.010837074,0.006724117,-0.030951703,-0.00021327286,2_6
-0.05783441,-0.03652769,-0.6398777,0.012990014,0.0048967786,-0.010204482,0.020898165,-0.008088705,-0.024016013,2_6
-0.057074055,-0.035899527,-0.64138025,0.011255303,0.003013415,-0.009700438,-0.03939517,-0.009033047,0.0009639188,2_6
-0.056503914,-0.03496777,-0.6428288,0.010015549,0.002168023,-0.011050003,0.009000844,-0.0057876706,-0.037882473,2_6
-0.055671,-0.03430377,-0.64450634,0.009535931,0.0016543203,-0.012600029,0.0041147675,0.0032334717,-0.011986121,2_6
