magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],timestamp,DTMode
0.2764622,-0.036365427,0.47569445,20427000,2_3
0.27738702,-0.033011414,0.47480568,20448000,2_3
0.27699572,-0.033263434,0.47519463,20468000,2_3
0.27460665,-0.03401451,0.47435775,20491000,2_3
0.273689,-0.034229916,0.47478127,20512000,2_3
0.27562138,-0.033244286,0.4731729,20532000,2_3
0.27328992,-0.03401631,0.47292763,20554000,2_3
0.2755251,-0.03427411,0.47468537,20576000,2_3
0.27458656,-0.032791346,0.47297445,20596000,2_3
0.27465463,-0.03339347,0.47464395,20616000,2_3
0.27410492,-0.03592529,0.47350255,20639000,2_3
0.27647495,-0.033506405,0.47412896,20663000,2_3
0.277163,-0.032918736,0.4732643,20687000,2_3
0.27432302,-0.03423124,0.4739954,20708000,2_3
0.27693054,-0.035420146,0.4737989,20728000,2_3
0.2749406,-0.034306593,0.47331747,20756000,2_3
0.2740438,-0.035195302,0.47473863,20776000,2_3
0.27538463,-0.033387914,0.4710683,20800000,2_3
0.27547485,-0.032848798,0.47392353,20824000,2_3
0.27501702,-0.033534065,0.47187036,20847000,2_3
0.2754118,-0.034824725,0.47226867,20871000,2_3
0.27499697,-0.031520188,0.47302356,20891000,2_3
0.27740523,-0.033063214,0.47256184,20912000,2_3
0.27486682,-0.033278473,0.47386065,20936000,2_3
0.27631268,-0.034469843,0.4732395,20956000,2_3
0.27423748,-0.033514008,0.47313038,20978000,2_3
0.2739512,-0.033167496,0.47360513,21000000,2_3
0.2740338,-0.034861635,0.4731802,21020000,2_3
0.2758138,-0.03433257,0.4734725,21048000,2_3
0.27419317,-0.03509056,0.47371197,21072000,2_3
0.2739188,-0.03440859,0.47289428,21092000,2_3
0.27543372,-0.03373059,0.47133955,21116000,2_3
0.27463955,-0.03379355,0.47364923,21136000,2_3
0.27586752,-0.034115456,0.47339243,21158000,2_3
0.27583888,-0.036451492,0.47325873,21179000,2_3
0.2744457,-0.03215158,0.47317076,21202000,2_3
0.27716562,-0.03273963,0.47305366,21223000,2_3
0.27475142,-0.03532353,0.4713181,21245000,2_3
0.27702257,-0.036318664,0.47306785,21267000,2_3
0.2742656,-0.03515935,0.4728946,21287000,2_3
0.275759,-0.03259461,0.47194192,21312000,2_3
0.2762123,-0.033134528,0.4750219,21335000,2_3
0.27582818,-0.035752434,0.47298005,21355000,2_3
0.2764045,-0.032871574,0.4716214,21376000,2_3
0.27465722,-0.03355543,0.47180635,21396000,2_3
0.2757432,-0.034153674,0.47290602,21419000,2_3
0.27710938,-0.03535727,0.47315866,21440000,2_3
0.2739112,-0.03505321,0.47330388,21461000,2_3
0.27548605,-0.033790976,0.47227764,21485000,2_3
0.27492714,-0.035973907,0.47273692,21505000,2_3
0.27681714,-0.03449028,0.4742849,21528000,2_3
0.27629274,-0.03356311,0.47176018,21550000,2_3
0.27563077,-0.032740988,0.47278935,21571000,2_3
0.2750021,-0.03640703,0.47365066,21596000,2_3
0.27428597,-0.032412898,0.4721252,21618000,2_3
0.2748428,-0.033201277,0.4728711,21640000,2_3
0.2759754,-0.03538663,0.47349563,21663000,2_3
0.27462053,-0.034088172,0.4713414,21688000,2_3
0.27510685,-0.03471624,0.4716729,21712000,2_3
0.2746888,-0.033051103,0.47058144,21732000,2_3
0.2761967,-0.033888116,0.47214118,21752000,2_3
0.2760967,-0.03339657,0.47140452,21775000,2_3
0.27451393,-0.033353757,0.47272372,21796000,2_3
0.27713677,-0.0337284,0.4725778,21816000,2_3
0.27435696,-0.03464507,0.47061396,21836000,2_3
0.27650127,-0.034603924,0.47173253,21856000,2_3
0.2750152,-0.034170967,0.47160918,21880000,2_3
0.27664584,-0.03465658,0.47009838,21903000,2_3
0.27662742,-0.03329182,0.47264406,21924000,2_3
0.27624136,-0.03320347,0.4723463,21944000,2_3
0.27746388,-0.033297833,0.4738259,21968000,2_3
0.27500206,-0.034365084,0.47171172,21992000,2_3
0.27792996,-0.03469694,0.47217897,22012000,2_3
0.27572703,-0.03463329,0.47309098,22035000,2_3
0.2768918,-0.033166546,0.47285447,22056000,2_3
0.2761814,-0.03467528,0.4724743,22079000,2_3
0.27584285,-0.03621949,0.47077852,22099000,2_3
0.27694166,-0.03385441,0.47151467,22120000,2_3
0.27707958,-0.035539016,0.47300473,22140000,2_3
0.27622503,-0.033985715,0.47118226,22164000,2_3
0.2773072,-0.033206232,0.47167692,22187000,2_3
0.27776036,-0.034578357,0.4707696,22209000,2_3
0.2768391,-0.032875635,0.47141066,22232000,2_3
0.27798164,-0.03324409,0.47273123,22252000,2_3
0.2764504,-0.032464158,0.473044,22272000,2_3
