timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
515000,0.26820624,0.2688721,14.675888,1.0
521000,-0.14856817,-0.14893731,14.675394,1.0
524000,0.04566135,0.0457748,14.675334,1.0
532000,0.2492248,0.24984404,14.675405,1.0
536000,0.2402126,0.24080926,14.67494,1.0
541000,-0.25674233,-0.25737995,14.674683,1.0
548000,-0.20963165,-0.21015239,14.675058,1.0
552000,0.18571572,0.18617716,14.675419,1.0
556000,0.19879003,0.19928417,14.675986,1.0
561000,-0.22294681,-0.22350083,14.675624,1.0
564000,-0.26925626,-0.26992518,14.675218,1.0
572000,-0.12662603,-0.12694061,14.675167,1.0
576000,0.213033,0.21356225,14.675117,1.0
580000,0.27721804,0.27790654,14.6747465,1.0
584000,0.22336388,0.22391902,14.675754,1.0
591000,0.29460073,0.29533294,14.675767,1.0
595000,-0.18671174,-0.18717583,14.675847,1.0
600000,-0.16987494,-0.17029728,14.676214,1.0
603000,0.045831963,0.045945797,14.67476,1.0
607000,0.13319783,0.13352872,14.675089,1.0
613000,0.1725127,0.17294142,14.675652,1.0
623000,-0.26397213,-0.26462746,14.675031,1.0
628000,-0.092724875,-0.09295505,14.674946,1.0
631000,0.059929155,0.06007798,14.675511,1.0
635000,-0.19258581,-0.19306414,14.675674,1.0
639000,-0.23370704,-0.23428717,14.674852,1.0
643000,-0.19435705,-0.19483973,14.6755495,1.0
647000,-0.19747658,-0.19796722,14.676172,1.0
652000,-0.23448166,-0.23506404,14.675742,1.0
656000,-0.13982502,-0.14017235,14.675904,1.0
659000,0.1449627,0.14532264,14.675293,1.0
663000,-0.11523078,-0.11551706,14.676107,1.0
667000,-0.29995114,-0.30069575,14.674944,1.0
672000,0.07589654,0.076084934,14.674892,1.0
676000,-0.18227991,-0.18273239,14.67488,1.0
680000,-0.04223658,-0.042341456,14.675048,1.0
683000,-0.22691311,-0.22747664,14.675287,1.0
688000,-0.26639825,-0.26705974,14.675119,1.0
692000,0.27780402,0.27849367,14.674783,1.0
696000,0.12519602,0.12550713,14.676089,1.0
701000,0.22224939,0.22280131,14.675196,1.0
704000,-0.09706387,-0.09730502,14.675857,1.0
712000,0.20685361,0.20736766,14.676193,1.0
716000,-0.24840964,-0.24902654,14.675212,1.0
720000,-0.14982522,-0.15019727,14.675157,1.0
728000,0.191328,0.19180302,14.67499,1.0
731000,-0.11031653,-0.11059047,14.675221,1.0
735000,0.2954329,0.29616642,14.675058,1.0
739000,0.24157037,0.24217021,14.675182,1.0
743000,-0.2756078,-0.27629256,14.676015,1.0
748000,-0.10156399,-0.10181634,14.676076,1.0
753000,-0.27148065,-0.27215508,14.675769,1.0
