timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
787000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
1796000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
2799000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
3807000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
4812000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
5819000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
6820000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
7824000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
8828000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
9839000,735000,1,1310988,6620172,1310988,197388,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
10843000,735000,1,1310988,6620172,1310988,197388,0.009498121,0.009501884,0.009501655,0.009495453,0.009502303,0.009502095,nan,nan,nan,0.0,0.0028015533,0.0033068643,1.0,0.0032803572,0.016706903,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
11851000,735000,1,1310988,6620172,1310988,197388,0.0070683546,0.007147094,0.0071502635,0.0070918747,0.0071416465,0.0071424446,nan,nan,nan,0.0,0.012080092,0.02689246,1.0,0.016004454,0.041534986,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
12852000,735000,1,1310988,6620172,1310988,197388,0.008871628,0.009003868,0.009004009,0.008891932,0.009003612,0.009003467,nan,nan,nan,0.0,0.038704988,0.05355282,1.0,0.042456355,0.06767415,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
13853000,735000,1,1310988,6620172,1310988,197388,0.009022796,0.009058203,0.009061957,0.008985227,0.009058846,0.009058238,nan,nan,nan,0.0,0.053750195,0.07749622,1.0,0.06384504,0.09335276,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
14863000,735000,1,1310988,6620172,1310988,197388,0.038773857,0.038770515,0.038777195,0.038789403,0.03876613,0.03875994,nan,nan,nan,0.0,0.06732348,0.09204135,1.0,0.06913008,0.103695706,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
15868000,735000,1,1310988,6620172,1310988,197388,0.013047646,0.012726191,0.012700899,0.013076975,0.0127228275,0.01273565,nan,nan,nan,0.0,0.070971444,0.09574632,1.0,0.092517324,0.116354994,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
16879000,735000,1,1310988,6620172,1310988,197388,0.007042299,0.0069537894,0.007012806,0.0070236637,0.0069623366,0.0069653117,nan,nan,nan,0.0,0.093424305,0.1199232,1.0,0.11607963,0.14719495,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
17891000,735000,1,1310988,6620172,1310988,197388,0.015683934,0.015797377,0.015801296,0.015658494,0.015791077,0.015796926,nan,nan,nan,0.0,0.10926168,0.14606187,1.0,0.1335734,0.17316806,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
18892000,735000,1,1310988,6620172,1310988,197388,0.0052109854,0.005108625,0.0051139304,0.0052164495,0.005112974,0.0051139356,nan,nan,nan,0.0,0.12187527,0.1566976,1.0,0.16538686,0.20521954,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
19897000,735000,1,1310988,6620172,1310988,197388,0.01749506,0.017704867,0.017704925,0.01749778,0.017702349,0.01770118,nan,nan,nan,0.0,0.13128467,0.16465548,1.0,0.1773554,0.214356,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
20899000,735000,1,1310988,6620172,1310988,197388,0.01583369,0.015904574,0.01593404,0.015816167,0.015907176,0.015907697,nan,nan,nan,0.0,0.1520489,0.1839087,1.0,0.20506772,0.2414406,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
21907000,735000,1,1310988,6620172,1310988,197388,0.018268637,0.018577302,0.018563628,0.018231975,0.018555025,0.018560775,nan,nan,nan,0.0,0.16567427,0.19793814,1.0,0.22045884,0.25238174,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
22912000,735000,1,1310988,6620172,1310988,197388,0.014630107,0.0144814495,0.014494881,0.014626753,0.014529076,0.014538937,nan,nan,nan,0.0,0.20445342,0.23942871,1.0,0.24986896,0.28525952,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
23920000,735000,1,1310988,6620172,1310988,197388,0.005311947,0.0056074923,0.005592832,0.005301413,0.0055916826,0.0056073368,nan,nan,nan,0.0,0.22613391,0.27825448,1.0,0.2789017,0.31478956,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
24924000,735000,1,1310988,6620172,1310988,197388,0.0019129945,0.0026452402,0.0026342575,0.0018752349,0.0025999337,0.0026041314,nan,nan,nan,0.0,0.28787452,0.34383622,1.0,0.33371845,0.3737358,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
25928000,735000,1,1310988,6620172,1310988,197388,0.01314367,0.013493694,0.013492877,0.016644334,0.013498105,0.013501285,nan,nan,nan,0.0,0.33432597,0.39074254,1.0,0.39175713,0.43178895,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
26936000,735000,1,1310988,6620172,1310988,197388,0.007876364,0.008538393,0.008531544,0.00787039,0.008526463,0.008525975,nan,nan,nan,0.0,0.35511103,0.41720888,1.0,0.41818538,0.47489175,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
27943000,735000,1,1310988,6620172,1310988,197388,0.0074995942,0.007371386,0.007368195,0.0075235153,0.007369066,0.007369595,nan,nan,nan,0.0,0.38925844,0.46328306,1.0,0.4603368,0.5173717,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
28948000,735000,1,1310988,6620172,1310988,197388,0.014464501,0.015131604,0.015133627,0.014460079,0.015130448,0.015129132,nan,nan,nan,0.0,0.40902898,0.49771577,1.0,0.49509895,0.551853,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,6,1,1,1,1,1,1,0,0,0,0,0
