timestamp,saturation_status
999000,1533
2003000,1533
3000000,1533
4004000,1533
5003000,1533
6003000,1533
7004000,1533
8003000,1533
8995000,1533
9999000,1533
11000000,1533
12003000,1529
13001000,1
14001000,1
15000000,1
16003000,1
17003000,1
18003000,1
18993000,1
20003000,1
21003000,1
22004000,1
22995000,1
24003000,1
25003000,1
26003000,1
27000000,1
28000000,1
28996000,1
29999000,1
31000000,1
32003000,1
33004000,1
34003000,1
35003000,1
36001000,1
37003000,1
38000000,1
39001000,1
40000000,1
41000000,1
42003000,1533
43003000,1533
44003000,1529
