timestamp,accel_device_id_primary,accel_device_ids[0],accel_device_ids[1],accel_device_ids[2],accel_device_ids[3],accel_inconsistency_m_s_s[0],accel_inconsistency_m_s_s[1],accel_inconsistency_m_s_s[2],accel_inconsistency_m_s_s[3],gyro_device_id_primary,gyro_device_ids[0],gyro_device_ids[1],gyro_device_ids[2],gyro_device_ids[3],gyro_inconsistency_rad_s[0],gyro_inconsistency_rad_s[1],gyro_inconsistency_rad_s[2],gyro_inconsistency_rad_s[3],accel_healthy[0],accel_healthy[1],accel_healthy[2],accel_healthy[3],gyro_healthy[0],gyro_healthy[1],gyro_healthy[2],gyro_healthy[3]
515000,1310988,1310988,1310996,1311004,0,0.00082575396,0.0003725893,0.00052497454,0.0,1310988,1310988,1310996,1311004,0,0.0002036097,0.000105104875,9.878478e-05,0.0,1,1,1,0,1,1,1,0
521000,1310988,1310988,1310996,1311004,0,0.0014134258,0.00069762196,0.00076021417,0.0,1310988,1310988,1310996,1311004,0,0.0001916781,9.9217286e-05,9.2712915e-05,0.0,1,1,1,0,1,1,1,0
712000,1310988,1310988,1310996,1311004,0,0.0015750917,0.0007718827,0.000802614,0.0,1310988,1310988,1310996,1311004,0,0.00013663399,6.808586e-05,6.8554145e-05,0.0,1,1,1,0,1,1,1,0
912000,1310988,1310988,1310996,1311004,0,0.0018810326,0.0015755324,0.00072838704,0.0,1310988,1310988,1310996,1311004,0,0.00021290327,9.699221e-05,0.00011653763,0.0,1,1,1,0,1,1,1,0
1112000,1310988,1310988,1310996,1311004,0,0.0013243691,0.00037257135,0.0012106894,0.0,1310988,1310988,1310996,1311004,0,6.921583e-05,2.7740356e-05,5.2741907e-05,0.0,1,1,1,0,1,1,1,0
1317000,1310988,1310988,1310996,1311004,0,0.0020813365,0.0026552237,0.0013808067,0.0,1310988,1310988,1310996,1311004,0,9.034467e-05,5.305222e-05,7.762818e-05,0.0,1,1,1,0,1,1,1,0
1512000,1310988,1310988,1310996,1311004,0,0.00134588,0.0009010283,0.0015060827,0.0,1310988,1310988,1310996,1311004,0,0.000103634964,7.562215e-05,3.9605806e-05,0.0,1,1,1,0,1,1,1,0
1712000,1310988,1310988,1310996,1311004,0,0.0015817134,0.00078937714,0.0010065234,0.0,1310988,1310988,1310996,1311004,0,8.149347e-05,7.3978044e-05,4.8424314e-05,0.0,1,1,1,0,1,1,1,0
1919000,1310988,1310988,1310996,1311004,0,0.0022822618,0.0010271011,0.0013804435,0.0,1310988,1310988,1310996,1311004,0,5.83203e-05,2.7064363e-05,3.2068514e-05,0.0,1,1,1,0,1,1,1,0
2111000,1310988,1310988,1310996,1311004,0,0.0028285047,0.0013235852,0.0019441672,0.0,1310988,1310988,1310996,1311004,0,4.9125174e-05,4.0841027e-05,1.8894523e-05,0.0,1,1,1,0,1,1,1,0
