timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
8047000,0.0,-0.0,-0.0037034533,0.0,0.9999983,0.0,-0.0,-0.0018517256,0.0,0.0,-0.0,0,0,0,0,0
8056000,0.0,-0.0,-0.0037044154,0.0,0.9999983,0.0,-0.0,-0.0018522067,0.0,0.0,-0.0,0,0,0,0,0
8096000,0.0,-0.0,-0.0036862784,0.0,0.99999833,0.0,-0.0,-0.0018431381,0.0,0.0,-0.0,0,0,0,0,0
8143000,0.0,-0.0,-0.0036148306,0.0,0.9999984,0.0,-0.0,-0.0018074143,0.0,0.0,-0.0,0,0,0,0,0
8193000,0.0,-0.0,-0.0035088796,0.0,0.99999845,0.0,-0.0,-0.0017544389,0.0,0.0,-0.0,0,0,0,0,0
8243000,0.0,-0.0,-0.0034601027,0.0,0.9999985,0.0,-0.0,-0.0017300505,0.0,0.0,-0.0,0,0,0,0,0
8301000,0.0,-0.0,-0.0034337582,0.0,0.9999985,0.0,-0.0,-0.0017168783,0.0,0.0,-0.0,0,0,0,0,0
8341000,0.0,-0.0,-0.0034115436,0.0,0.99999857,0.0,-0.0,-0.001705771,0.0,0.0,-0.0,0,0,0,0,0
8396000,0.0,-0.0,-0.0033711898,0.0,0.99999857,0.0,-0.0,-0.0016855941,0.0,0.0,-0.0,0,0,0,0,0
8448000,0.0,-0.0,-0.003348924,0.0,0.99999857,0.0,-0.0,-0.0016744612,0.0,0.0,-0.0,0,0,0,0,0
8493000,0.0,-0.0,-0.003358863,0.0,0.99999857,0.0,-0.0,-0.0016794307,0.0,0.0,-0.0,0,0,0,0,0
8547000,0.0,-0.0,-0.0033494122,0.0,0.99999857,0.0,-0.0,-0.0016747053,0.0,0.0,-0.0,0,0,0,0,0
8595000,0.0,-0.0,-0.003380428,0.0,0.99999857,0.0,-0.0,-0.0016902132,0.0,0.0,-0.0,0,0,0,0,0
8648000,0.0,-0.0,-0.0034159094,0.0,0.99999857,0.0,-0.0,-0.0017079539,0.0,0.0,-0.0,0,0,0,0,0
8696000,0.0,-0.0,-0.0034322932,0.0,0.9999985,0.0,-0.0,-0.0017161458,0.0,0.0,-0.0,0,0,0,0,0
8741000,0.0,-0.0,-0.003457541,0.0,0.9999985,0.0,-0.0,-0.0017287697,0.0,0.0,-0.0,0,0,0,0,0
8797000,0.0,-0.0,-0.0034854438,0.0,0.9999985,0.0,-0.0,-0.001742721,0.0,0.0,-0.0,0,0,0,0,0
8848000,0.0,-0.0,-0.0034968886,0.0,0.99999845,0.0,-0.0,-0.0017484433,0.0,0.0,-0.0,0,0,0,0,0
8899000,0.0,-0.0,-0.0034710774,0.0,0.9999985,0.0,-0.0,-0.0017355379,0.0,0.0,-0.0,0,0,0,0,0
8948000,0.0,-0.0,-0.003445865,0.0,0.9999985,0.0,-0.0,-0.0017229316,0.0,0.0,-0.0,0,0,0,0,0
8995000,0.0,-0.0,-0.0033908617,0.0,0.99999857,0.0,-0.0,-0.00169543,0.0,0.0,-0.0,0,0,0,0,0
9047000,0.0,-0.0,-0.0033335504,0.0,0.9999986,0.0,-0.0,-0.0016667744,0.0,0.0,-0.0,0,0,0,0,0
9099000,0.0,-0.0,-0.0032825305,0.0,0.9999986,0.0,-0.0,-0.0016412645,0.0,0.0,-0.0,0,0,0,0,0
9148000,0.0,-0.0,-0.0032553477,0.0,0.9999987,0.0,-0.0,-0.0016276732,0.0,0.0,-0.0,0,0,0,0,0
9191000,0.0,-0.0,-0.0032321909,0.0,0.9999987,0.0,-0.0,-0.0016160947,0.0,0.0,-0.0,0,0,0,0,0
9247000,0.0,-0.0,-0.003176602,0.0,0.99999875,0.0,-0.0,-0.0015883003,0.0,0.0,-0.0,0,0,0,0,0
