timestamp,armed,prearmed,ready_to_arm,lockdown,manual_lockdown,force_failsafe,in_esc_calibration_mode,soft_stop
51000,0,0,1,0,0,0,0,0
560000,0,0,1,0,0,0,0,0
1060000,0,0,1,0,0,0,0,0
1528000,0,0,1,0,0,0,0,0
2036000,0,0,1,0,0,0,0,0
2540000,0,0,1,0,0,0,0,0
3047000,0,0,1,0,0,0,0,0
3556000,0,0,1,0,0,0,0,0
4060000,0,0,1,0,0,0,0,0
4234000,0,0,1,0,0,0,0,0
4740000,0,0,1,0,0,0,0,0
5252000,0,0,1,0,0,0,0,0
5752000,0,0,1,0,0,0,0,0
6267000,0,0,1,0,0,0,0,0
6776000,0,0,1,0,0,0,0,0
7279000,0,0,1,0,0,0,0,0
7784000,0,0,1,0,0,0,0,0
8296000,0,0,1,0,0,0,0,0
8800000,0,0,1,0,0,0,0,0
9303000,0,0,1,0,0,0,0,0
9803000,0,0,1,0,0,0,0,0
10307000,0,0,1,0,0,0,0,0
10808000,0,0,1,0,0,0,0,0
11052000,0,0,1,0,0,0,0,0
11564000,0,0,1,0,0,0,0,0
12064000,0,0,1,0,0,0,0,0
12572000,0,0,1,0,0,0,0,0
13080000,0,0,1,0,0,0,0,0
13587000,0,0,1,0,0,0,0,0
14087000,0,0,1,0,0,0,0,0
14596000,0,0,1,0,0,0,0,0
15097000,0,0,1,0,0,0,0,0
15603000,0,0,1,0,0,0,0,0
16107000,0,0,1,0,0,0,0,0
16611000,0,0,1,0,0,0,0,0
17112000,0,0,1,0,0,0,0,0
17123000,0,0,1,0,0,0,0,0
17628000,0,0,1,0,0,0,0,0
17847000,1,0,1,0,0,0,0,0
17945000,1,0,1,0,0,0,0,0
18060000,1,0,1,0,0,0,0,0
18560000,1,0,1,0,0,0,0,0
18572000,1,0,1,0,0,0,0,0
19076000,1,0,1,0,0,0,0,0
19567000,1,0,1,0,0,0,0,0
19592000,1,0,1,0,0,0,0,0
20099000,1,0,1,0,0,0,0,0
20607000,1,0,1,0,0,0,0,0
21116000,1,0,1,0,0,0,0,0
21624000,1,0,1,0,0,0,0,0
22127000,1,0,1,0,0,0,0,0
22636000,1,0,1,0,0,0,0,0
23144000,1,0,1,0,0,0,0,0
23657000,1,0,1,0,0,0,0,0
24160000,1,0,1,0,0,0,0,0
24596000,1,0,1,0,0,0,0,0
24607000,1,0,1,0,0,0,0,0
24620000,1,0,1,0,0,0,0,0
25127000,1,0,1,0,0,0,0,0
25636000,1,0,1,0,0,0,0,0
26144000,1,0,1,0,0,0,0,0
26648000,1,0,1,0,0,0,0,0
27149000,1,0,1,0,0,0,0,0
27653000,1,0,1,0,0,0,0,0
28161000,1,0,1,0,0,0,0,0
28665000,1,0,1,0,0,0,0,0
29167000,1,0,1,0,0,0,0,0
29667000,1,0,1,0,0,0,0,0
30176000,1,0,1,0,0,0,0,0
30676000,1,0,1,0,0,0,0,0
31180000,1,0,1,0,0,0,0,0
31688000,1,0,1,0,0,0,0,0
32200000,1,0,1,0,0,0,0,0
32713000,1,0,1,0,0,0,0,0
33224000,1,0,1,0,0,0,0,0
33736000,1,0,1,0,0,0,0,0
34240000,1,0,1,0,0,0,0,0
34747000,1,0,1,0,0,0,0,0
35256000,1,0,1,0,0,0,0,0
35764000,1,0,1,0,0,0,0,0
36268000,1,0,1,0,0,0,0,0
36775000,1,0,1,0,0,0,0,0
37284000,1,0,1,0,0,0,0,0
37792000,1,0,1,0,0,0,0,0
38303000,1,0,1,0,0,0,0,0
38809000,1,0,1,0,0,0,0,0
39315000,1,0,1,0,0,0,0,0
39817000,1,0,1,0,0,0,0,0
40327000,1,0,1,0,0,0,0,0
40832000,1,0,1,0,0,0,0,0
41340000,1,0,1,0,0,0,0,0
41843000,1,0,1,0,0,0,0,0
42352000,1,0,1,0,0,0,0,0
42860000,1,0,1,0,0,0,0,0
43368000,1,0,1,0,0,0,0,0
43871000,1,0,1,0,0,0,0,0
44372000,1,0,1,0,0,0,0,0
44620000,1,0,1,0,0,0,0,0
44632000,1,0,1,0,0,0,0,0
45136000,1,0,1,0,0,0,0,0
45636000,1,0,1,0,0,0,0,0
46144000,1,0,1,0,0,0,0,0
46644000,1,0,1,0,0,0,0,0
47152000,1,0,1,0,0,0,0,0
47663000,1,0,1,0,0,0,0,0
48164000,1,0,1,0,0,0,0,0
48664000,1,0,1,0,0,0,0,0
49173000,1,0,1,0,0,0,0,0
49659000,1,0,1,0,0,0,0,0
50152000,0,0,1,0,0,0,0,0
50664000,0,0,1,0,0,0,0,0
