timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
433000,-50,32767,32767,32767,32767,32767
440000,-70,32767,32767,32767,32767,32767
444000,-40,32767,32767,32767,32767,32767
447000,-30,32767,32767,32767,-30,32767
451000,-40,32767,32767,32767,32767,32767
455000,-40,32767,32767,32767,32767,32767
460000,-50,32767,32767,32767,32767,32767
464000,-40,32767,32767,32767,0,32767
467000,-30,32767,32767,32767,32767,32767
471000,-40,32767,32767,32767,32767,32767
475000,-40,32767,32767,0,32767,32767
480000,-50,32767,32767,32767,32767,32767
484000,-40,32767,32767,32767,0,32767
487000,-30,32767,32767,32767,32767,32767
492000,-50,32767,32767,32767,32767,32767
496000,-40,32767,32767,32767,32767,32767
499000,-30,32767,32767,32767,32767,32767
504000,-50,32767,32767,32767,0,32767
507000,-30,32767,32767,32767,32767,32767
512000,-50,32767,32767,32767,32767,32767
516000,-40,32767,32767,32767,32767,32767
520000,-40,32767,32767,32767,32767,32767
524000,-40,32767,32767,32767,0,32767
527000,-30,32767,32767,32767,32767,32767
531000,-40,32767,32767,-40,32767,32767
536000,-50,32767,32767,32767,32767,32767
540000,-40,32767,32767,32767,32767,32767
544000,-40,32767,32767,32767,0,32767
547000,-30,32767,32767,32767,32767,32767
553000,-60,32767,32767,32767,32767,32767
560000,-70,32767,32767,32767,32767,32767
564000,-40,32767,32767,32767,0,32767
567000,-30,32767,32767,32767,32767,32767
572000,-50,32767,32767,32767,32767,32767
576000,-40,32767,32767,32767,32767,32767
579000,-30,32767,32767,32767,32767,32767
584000,-50,32767,32767,-50,32767,32767
588000,-40,32767,32767,32767,-40,32767
592000,-40,32767,32767,32767,32767,32767
596000,-40,32767,32767,32767,32767,32767
599000,-30,32767,32767,32767,32767,32767
603000,-40,32767,32767,32767,32767,32767
607000,-40,32767,32767,32767,0,32767
611000,-40,32767,32767,32767,32767,32767
616000,-50,32767,32767,32767,32767,32767
620000,-40,32767,32767,32767,32767,32767
624000,-40,32767,32767,32767,32767,32767
628000,-40,32767,32767,32767,32767,32767
631000,-30,32767,32767,0,-30,32767
636000,-50,32767,32767,32767,32767,32767
639000,-30,32767,32767,32767,32767,32767
644000,-50,32767,32767,32767,32767,32767
647000,-30,32767,32767,32767,32767,32767
651000,-40,32767,32767,32767,0,32767
657000,-60,32767,32767,32767,32767,32767
663000,-60,32767,32767,32767,32767,32767
667000,-40,32767,32767,32767,32767,32767
671000,-40,32767,32767,32767,0,32767
676000,-50,32767,32767,32767,32767,32767
680000,-40,32767,32767,32767,32767,32767
685000,-50,32767,32767,32767,32767,32767
691000,-60,32767,32767,-60,0,32767
696000,-50,32767,32767,32767,32767,32767
699000,-30,32767,32767,32767,32767,32767
703000,-40,32767,32767,32767,32767,32767
708000,-50,32767,32767,32767,32767,32767
712000,-40,32767,32767,32767,0,32767
716000,-40,32767,32767,32767,32767,32767
720000,-40,32767,32767,32767,32767,32767
724000,-40,32767,32767,32767,32767,32767
727000,-30,32767,32767,32767,32767,32767
731000,-40,32767,32767,32767,32767,32767
735000,-40,32767,32767,32767,0,32767
739000,-40,32767,32767,-40,32767,32767
744000,-50,32767,32767,32767,32767,32767
748000,-40,32767,32767,32767,32767,32767
751000,-30,32767,32767,32767,32767,32767
755000,-40,32767,32767,32767,0,32767
760000,-50,32767,32767,32767,32767,32767
764000,-40,32767,32767,32767,32767,32767
767000,-30,32767,32767,32767,32767,32767
771000,-40,32767,32767,32767,32767,32767
775000,-40,32767,32767,32767,0,32767
780000,-50,32767,32767,32767,32767,32767
784000,-40,32767,32767,32767,32767,32767
788000,-40,32767,32767,0,32767,32767
791000,-30,32767,32767,32767,32767,32767
795000,-40,32767,32767,32767,0,32767
800000,-50,32767,32767,32767,32767,32767
803000,-30,32767,32767,32767,32767,32767
809000,-60,32767,32767,32767,32767,32767
816000,-70,32767,32767,32767,0,32767
821000,-50,32767,32767,32767,32767,32767
827000,-60,32767,32767,32767,32767,32767
831000,-40,32767,32767,32767,32767,32767
835000,-40,32767,32767,32767,32767,32767
839000,-40,32767,32767,0,0,32767
843000,-40,32767,32767,32767,32767,32767
848000,-50,32767,32767,32767,32767,32767
851000,-30,32767,32767,32767,32767,32767
855000,-40,32767,32767,32767,32767,32767
860000,-50,32767,32767,32767,0,32767
864000,-40,32767,32767,32767,32767,32767
867000,-30,32767,32767,32767,32767,32767
872000,-50,32767,32767,32767,32767,32767
876000,-40,32767,32767,32767,32767,32767
880000,-40,32767,32767,32767,32767,32767
884000,-40,32767,32767,32767,-40,32767
887000,-30,32767,32767,32767,32767,32767
891000,-40,32767,32767,0,32767,32767
897000,-60,32767,32767,32767,32767,32767
903000,-60,32767,32767,32767,0,32767
908000,-50,32767,32767,32767,32767,32767
912000,-40,32767,32767,32767,32767,32767
916000,-40,32767,32767,32767,32767,32767
919000,-30,32767,32767,32767,32767,32767
924000,-50,32767,32767,32767,0,32767
928000,-40,32767,32767,32767,32767,32767
932000,-40,32767,32767,32767,32767,32767
936000,-40,32767,32767,32767,32767,32767
939000,-30,32767,32767,32767,32767,32767
945000,-60,32767,32767,0,0,32767
951000,-60,32767,32767,32767,32767,32767
956000,-50,32767,32767,32767,32767,32767
959000,-30,32767,32767,32767,32767,32767
964000,-50,32767,32767,32767,32767,32767
967000,-30,32767,32767,32767,0,32767
971000,-40,32767,32767,32767,32767,32767
977000,-60,32767,32767,32767,32767,32767
983000,-60,32767,32767,32767,32767,32767
987000,-40,32767,32767,32767,32767,32767
991000,-40,32767,32767,32767,-40,32767
996000,-50,32767,32767,32767,32767,32767
1000000,-40,32767,32767,-40,32767,32767
1004000,-40,32767,32767,32767,32767,32767
1007000,-30,32767,32767,32767,0,32767
1011000,-40,32767,32767,32767,32767,32767
1015000,-40,32767,32767,32767,32767,32767
1019000,-40,32767,32767,32767,32767,32767
1023000,-40,32767,32767,32767,32767,32767
1028000,-50,32767,32767,32767,32767,32767
1032000,-40,32767,32767,32767,-40,32767
1036000,-40,32767,32767,32767,32767,32767
1040000,32767,32767,32767,32767,32767,32767
1044000,-40,32767,32767,32767,32767,32767
1048000,-40,32767,32767,0,0,32767
1052000,-40,32767,32767,32767,32767,32767
1056000,-40,32767,32767,32767,32767,32767
1060000,-40,32767,32767,32767,32767,32767
1063000,-30,32767,32767,32767,32767,32767
1068000,-50,32767,32767,32767,32767,32767
1073000,-50,32767,32767,32767,-50,32767
1080000,-70,32767,32767,32767,32767,32767
1084000,-40,32767,32767,32767,32767,32767
