timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
691000,691000,0,nan,nan,-3.8035455e-07,-7.103556e-08,3.4937116e-07,0.0,0.0,0.0,-0.0001562186,-5.1938103e-05,8.175998e-05,8.458056e-05,3.3737135e-05,3.23913e-05,0.0,-0.032752078,-0.014418222,0.009033829,0.1246564,0.12465822,nan,0.10000445,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-0.00013773092,0.00040765924,-0.0027476156,0.0,0.0,0.0,-0.0008768935,0.0024044274,0.0055494495,0.0026910747,3.3737135e-05,3.23913e-05,0.0,-0.010504533,0.009681409,0.0035561621,0.12467012,0.12465822,nan,0.104080856,0.93229896,1.3244458,4.381283,0.45363662,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1496000,1496000,0,nan,nan,-0.0012498407,0.0010740288,0.008632266,0.0,0.0,0.0,-0.0046098363,0.0018169635,0.0119395275,0.016112855,3.3737135e-05,3.23913e-05,0.0,0.021604603,-0.011646816,-0.0058729197,0.124681786,0.12465822,nan,0.10402254,0.820045,0.8924982,1.8176022,0.471207,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1999000,1999000,0,nan,nan,-0.0019452946,0.0012699926,0.02130908,0.0,0.0,0.0,-0.0038782465,0.0031091704,0.012874946,0.019072652,3.3737135e-05,3.23913e-05,0.0,-0.012715089,-0.00048078984,-0.026391199,0.12459989,0.12465822,nan,0.1,0.5700471,0.74439085,1.3745375,0.49834993,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2500000,2500000,0,nan,nan,-0.0016012058,0.0014494609,0.026060196,0.0,0.0,0.0,-0.0017013325,0.0031181723,0.013861364,0.016300377,3.3737135e-05,3.23913e-05,0.0,0.0047256863,-0.009867371,0.015039927,0.12463111,0.12465822,nan,0.1,0.68967927,0.71118045,1.6059068,0.52636474,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
2997000,2997000,0,nan,nan,0.00039789226,0.0011146686,0.027899412,0.0,0.0,0.0,0.003212121,0.0019692203,0.013797311,0.010668378,3.3737135e-05,3.23913e-05,0.0,-0.014944248,-0.029433796,-0.030676525,0.12462985,0.12465822,nan,0.1,0.5622253,0.7397546,1.3189963,0.5478725,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3492000,3492000,0,nan,nan,0.0018425164,-0.00055332633,0.028282374,0.0,0.0,0.0,0.003360291,-0.0028844848,0.016022347,0.009283143,3.3737135e-05,3.23913e-05,0.0,0.028122159,0.0011041095,0.013447553,0.1246559,0.12465822,nan,0.1,0.6433568,0.76373476,1.3292651,0.54884773,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
3997000,3997000,0,nan,nan,0.002115178,-0.002571327,0.02901297,0.0,0.0,0.0,0.003644603,-0.004457653,0.014024301,0.004749844,3.3737135e-05,3.23913e-05,0.0,-0.0122323185,0.006741611,-0.025487196,0.12465499,0.12465822,nan,0.1,0.5060087,0.80036646,1.0441631,0.54449666,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4497000,4484000,0,nan,nan,0.0017115165,-0.002097244,0.02574349,0.0,0.0,0.0,0.0031050255,-0.0034737017,0.013015052,-3.2711367e-05,3.3737135e-05,3.23913e-05,0.0,-0.009164929,-0.004406958,-0.059912354,0.124653615,0.12465822,nan,0.1,0.5613049,0.7999956,1.0669096,0.5211719,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
4996000,4983000,0,nan,nan,0.00016314564,-0.0015863139,0.023519857,0.0,0.0,0.0,-0.0031738111,-0.0029217398,0.012104991,-0.0019778442,3.3737135e-05,3.23913e-05,0.0,-0.027580982,0.0125230495,0.0013476236,0.12461348,0.12465822,nan,0.1,0.6292244,0.815276,1.0814486,0.50496006,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
