timestamp,total_written_kb,write_rate_kb_s,dropouts,message_gaps,buffer_used_bytes,buffer_size_bytes,type,backend,num_messages
1000000,92.768555,163.61296,0,4,8251,1024000,0,3,255
2003000,140.22266,89.3138,0,108,8879,1024000,0,3,255
3012000,196.71289,76.27487,0,215,482,1024000,0,3,255
4016000,245.73047,68.58232,0,335,660,1024000,0,3,255
5020000,295.35938,64.39053,0,438,853,1024000,0,3,255
6020000,343.95996,61.56434,0,546,1053,1024000,0,3,255
7023000,393.16602,59.661003,0,651,1005,1024000,0,3,255
8024000,443.22168,58.387783,0,760,1338,1024000,0,3,255
9024000,497.0205,57.853626,0,883,1347,1024000,0,3,255
10027000,550.9385,57.425316,0,990,1018,1024000,0,3,255
11027000,604.9043,57.098766,0,1115,1475,1024000,0,3,255
12028000,663.292,57.204998,0,1234,1002,1024000,0,3,255
13028000,720.93066,57.239437,0,1338,1588,1024000,0,3,255
14029000,777.667,57.19822,0,1452,1292,1024000,0,3,255
15029000,834.4912,57.172596,0,1568,1176,1024000,0,3,255
16031000,891.7842,57.172985,0,1685,1239,1024000,0,3,255
17032000,947.39453,57.0754,0,1807,1604,1024000,0,3,255
18033000,1005.3789,57.1238,0,1922,1814,1024000,0,3,255
19036000,1062.0625,57.090927,0,2032,2038,1024000,0,3,255
20037000,1117.4395,57.000587,0,2150,2051,1024000,0,3,255
21040000,1176.1318,57.074383,0,2255,1824,1024000,0,3,255
22040000,1237.4238,57.26958,0,2361,1896,1024000,0,3,255
23044000,1295.667,57.302505,0,2472,3318,1024000,0,3,255
24044000,1354.2666,57.357445,0,2590,3115,1024000,0,3,255
25048000,1413.4521,57.42239,0,2699,2584,1024000,0,3,255
26052000,1470.0088,57.379635,0,2820,3082,1024000,0,3,255
27052000,1528.0039,57.402756,0,2922,2850,1024000,0,3,255
28056000,1583.6885,57.33224,0,3048,2738,1024000,0,3,255
29056000,1639.6299,57.283646,0,3164,3016,1024000,0,3,255
30056000,1695.7891,57.24569,0,3287,2766,1024000,0,3,255
31056000,1752.9463,57.2428,0,3390,2754,1024000,0,3,255
32056000,1809.6631,57.22617,0,3496,2730,1024000,0,3,255
33056000,1865.7412,57.190975,0,3602,3016,1024000,0,3,255
34059000,1923.084,57.190388,0,3716,3344,1024000,0,3,255
35061000,1979.8447,57.17468,0,3826,3211,1024000,0,3,255
36064000,2036.8809,57.165977,0,3932,3024,1024000,0,3,255
37064000,2092.7842,57.131504,0,4046,3377,1024000,0,3,255
38065000,2149.1875,57.110638,0,4150,3510,1024000,0,3,255
39067000,2205.3066,57.082016,0,4267,3431,1024000,0,3,255
40067000,2261.7178,57.06509,0,4368,3655,1024000,0,3,255
41069000,2318.4365,57.05376,0,4477,3311,1024000,0,3,255
42072000,2375.6875,57.054382,0,4569,3572,1024000,0,3,255
43076000,2431.499,57.019886,0,4698,3546,1024000,0,3,255
44076000,2488.1504,57.01144,0,4815,3871,1024000,0,3,255
45076000,2550.4268,57.12938,0,4927,125,1024000,0,3,255
46076000,2607.6982,57.13249,0,5056,204,1024000,0,3,255
47076000,2661.1035,57.05258,0,5176,3555,1024000,0,3,255
48076000,2717.4697,57.038174,0,5288,4093,1024000,0,3,255
49076000,2775.664,57.061943,0,5403,4128,1024000,0,3,255
50078000,2833.877,57.08283,0,5532,3828,1024000,0,3,255
51080000,2890.88,57.079,0,5647,4120,1024000,0,3,255
