timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
6951000,6951000,0.99999946,3.9347044e-05,3.0227699e-05,-0.0010361314,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
6960000,6960000,0.99999946,3.8152713e-05,3.1092648e-05,-0.001041585,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7004000,7004000,0.99999946,4.1708037e-05,5.62798e-05,-0.0010562693,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7047000,7047000,0.99999946,4.9979637e-05,5.0444836e-05,-0.0011130841,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7104000,7104000,0.99999934,4.8553753e-05,5.3269247e-05,-0.0011321873,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7151000,7151000,0.99999946,4.4354892e-05,5.4870172e-05,-0.0011143902,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7199000,7199000,0.99999946,3.1696894e-05,3.8688384e-05,-0.0010740953,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7242000,7242000,0.99999946,3.2920074e-05,4.0290437e-05,-0.0010143607,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7299000,7299000,0.9999996,3.9299233e-05,4.471578e-05,-0.0009666361,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7352000,7352000,0.9999996,5.746918e-05,3.8725077e-05,-0.0008822389,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7404000,7404000,0.9999997,5.240306e-05,3.7420235e-05,-0.0008486341,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7452000,7452000,0.9999997,3.904855e-05,4.9176768e-05,-0.00082120346,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7504000,7504000,0.9999997,5.0103044e-05,4.979441e-05,-0.00081128726,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7553000,7553000,0.9999997,5.2195086e-05,5.016103e-05,-0.00081418856,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7600000,7600000,0.9999997,6.4349195e-05,5.247232e-05,-0.00082004373,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7645000,7645000,0.9999997,5.273764e-05,3.727493e-05,-0.00085024675,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7699000,7699000,0.9999997,4.8163216e-05,3.0026078e-05,-0.0008851944,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7747000,7747000,0.9999996,4.1798776e-05,2.9109222e-05,-0.0009459053,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
7800000,7800000,0.9999996,4.0979514e-05,4.3973123e-05,-0.0009987886,0.9979483,3.637979e-12,4.5474735e-12,-0.064025655,2
