timestamp,param5,param6,param1,param2,param3,param4,param7,command,target_system,target_component,source_system,source_component,confirmation,from_external
17112000,0.0,0.0,33.0,4.0,3.0,0.0,0.0,176,1,0,0,0,0,1
17836000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
17940000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
18048000,0.0,0.0,33.0,6.0,0.0,0.0,0.0,176,1,0,0,0,0,1
18560000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
18560000,0.0,0.0,1.0,0.0,0.0,0.0,0.0,400,1,0,0,0,0,1
18560000,0.0,0.0,2.0,1.0,0.0,0.0,666.0,183,1,0,0,0,0,1
19561000,-1.0,0.0,2.0,3.0,0.06881141,0.031932972,666.0,183,1,0,0,0,0,1
24589000,0.0,0.0,2.0,3.0,0.0,0.0,777.0,183,1,0,0,0,0,1
24604000,0.0,0.0,2.0,6.0,0.0,0.0,666.0,183,1,0,0,0,0,1
44607000,0.0,0.0,2.0,6.0,0.0,0.0,777.0,183,1,0,0,0,0,1
44623000,40.154029846191406,116.25948333740234,0.0,0.0,0.0,0.0,50.062,21,1,0,0,0,0,1
44623000,0.0,0.0,2.0,7.0,0.0,0.0,666.0,183,1,0,0,0,0,1
49656000,0.0,0.0,2.0,7.0,0.0,0.0,777.0,183,1,0,0,0,0,1
