timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,calibration_count
504000,504000,1311004,1311004,2.2102602e-06,-8.04607e-07,2.9055834e-06,5.896882e-05,-4.2386102e-05,-0.04905136,5000,5000,0,0
1000000,1000000,1311004,1311004,2.8360014e-06,1.1508465e-06,7.216219e-06,-8.098039e-05,0.00011833974,-0.03944277,4000,4000,0,0
1500000,1500000,1311004,1311004,-1.8829475e-06,-1.9153026e-07,2.4645708e-06,2.9935765e-05,-8.5176296e-05,-0.039096177,4000,4000,0,0
2003000,2003000,1311004,1311004,2.521368e-06,-5.1325555e-06,-9.71385e-07,-1.5584325e-05,5.146649e-06,-0.03913586,4000,4000,0,0
2500000,2500000,1311004,1311004,-7.74908e-06,7.0582773e-06,4.3435557e-06,1.12771395e-05,-4.230678e-05,-0.0391661,4000,4000,0,0
3001000,3001000,1311004,1311004,2.5678017e-07,-1.6012845e-06,-2.081765e-06,-0.00012031899,-9.570905e-05,-0.03928593,4000,4000,0,0
3500000,3500000,1311004,1311004,6.598899e-06,-1.1596927e-06,4.6799914e-07,4.4055752e-05,0.00011716114,-0.039447006,4000,4000,0,0
4001000,4001000,1311004,1311004,-3.4554685e-06,6.010389e-07,4.6975847e-06,2.323697e-05,7.151478e-05,-0.039334998,4000,4000,0,0
4503000,4487000,1311004,1311004,-1.8627804e-06,4.025981e-07,2.3514585e-06,6.8184604e-06,-3.0607047e-05,-0.02960775,3000,3000,0,0
4999000,4988000,1311004,1311004,1.0908491e-06,-3.2039914e-06,6.397162e-06,-5.012116e-05,6.722089e-06,-0.049128022,5000,5000,0,0
5504000,5491000,1311004,1311004,-9.405231e-08,-3.2429027e-06,-2.6201546e-06,-6.812806e-06,1.3484314e-05,-0.039107606,4000,4000,0,0
6000000,5992000,1311004,1311004,8.904409e-07,-6.558832e-07,2.998436e-06,-5.8374673e-05,-2.7881882e-05,-0.039195657,4000,4000,0,0
