timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
703000,691000,0,nan,nan,-7.0370726e-07,-2.0564792e-07,5.978829e-07,0.0,0.0,0.0,-0.00018408333,-6.976013e-05,0.00017364194,0.00017525884,-5.7867048e-05,1.3878525e-06,0.0,-0.022323761,-0.012345988,0.026336562,0.12453438,0.124535985,nan,0.10000295,0.70622146,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
703000,703000,0,nan,nan,-3.8690077e-06,-1.4374249e-06,3.5852313e-06,0.0,0.0,0.0,-0.0002202083,-0.00011487396,0.0003719859,0.00037822148,-5.7867048e-05,1.3878525e-06,0.0,0.019743407,-0.0010364312,0.03590714,0.12453688,0.124535985,nan,0.100010805,0.7097526,3.5000114,7.0710893,0.450045,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
795000,795000,0,nan,nan,-3.8281145e-05,3.18416e-05,-0.0021715518,0.0,0.0,0.0,-0.00051603856,0.00083662174,0.0029709253,0.0008394817,-5.7867048e-05,1.3878525e-06,0.0,-0.010165213,0.025639126,0.04190765,0.12453917,0.124535985,nan,0.1,0.9506761,2.0208685,7.0726395,0.45056504,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
897000,897000,0,nan,nan,-9.014592e-05,0.00017220738,-0.004222396,0.0,0.0,0.0,-0.00082382583,0.0015125634,0.0035088426,-0.00074137445,-5.7867048e-05,1.3878525e-06,0.0,-0.021784676,0.022780243,0.0024077795,0.124528944,0.124535985,nan,0.102143675,0.63604885,1.5658705,4.371997,0.45178354,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
996000,996000,0,nan,nan,-0.00017113288,0.00034843938,-0.0025764422,0.0,0.0,0.0,-0.0009774199,0.0020695478,0.0064409785,0.0035902828,-5.7867048e-05,1.3878525e-06,0.0,-0.0053652194,0.0032440163,0.02155155,0.124532536,0.124535985,nan,0.10399087,0.93229866,1.3244458,4.381275,0.45363662,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1096000,1096000,0,nan,nan,-0.0002807392,0.0005961857,-0.0015018627,0.0,0.0,0.0,-0.0015575882,0.0025327965,0.007206553,0.0049032145,-5.7867048e-05,1.3878525e-06,0.0,-0.012458173,-0.008467124,0.07421616,0.12456035,0.124535985,nan,0.1,1.2827687,1.1697164,4.39548,0.4560691,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1203000,1203000,0,nan,nan,-0.00041720766,0.00077008345,-0.00016031663,0.0,0.0,0.0,-0.0027269747,0.002228214,0.0086837355,0.0070024305,-5.7867048e-05,1.3878525e-06,0.0,-0.0377989,0.01144898,0.03952812,0.12454204,0.124535985,nan,0.1040011,0.78865916,1.0604672,2.5667202,0.45904943,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1304000,1304000,0,nan,nan,-0.00064088195,0.00089332234,0.0032859752,0.0,0.0,0.0,-0.0031749578,0.0024543134,0.011719003,0.012431452,-5.7867048e-05,1.3878525e-06,0.0,-0.04451673,-0.012429707,0.04073232,0.12453579,0.124535985,nan,0.1047667,1.0166727,0.9793127,2.6063194,0.46300113,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1396000,1396000,0,nan,nan,-0.00087513326,0.0009143314,0.0061870306,0.0,0.0,0.0,-0.0036331362,0.0014694678,0.0127485795,0.015132634,-5.7867048e-05,1.3878525e-06,0.0,-0.028836623,0.003928467,0.055098902,0.12455768,0.124535985,nan,0.10294132,0.68286973,0.94829065,1.7560364,0.4668403,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1496000,1496000,0,nan,nan,-0.0012313692,0.0008862745,0.009528052,0.0,0.0,0.0,-0.0046222718,0.0014295653,0.014172121,0.018244214,-5.7867048e-05,1.3878525e-06,0.0,0.013521391,-0.005325766,0.007222406,0.12455161,0.124535985,nan,0.103672534,0.8200391,0.8924982,1.817516,0.4712069,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1604000,1604000,0,nan,nan,-0.0015344115,0.0007875279,0.013483871,0.0,0.0,0.0,-0.0050042737,0.001421291,0.01591866,0.021731267,-5.7867048e-05,1.3878525e-06,0.0,-0.015357611,0.005544502,0.058701634,0.1245101,0.124535985,nan,0.101787224,0.62370825,0.84910583,1.4196104,0.47661698,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1700000,1700000,0,nan,nan,-0.0018419608,0.00079236896,0.017046161,0.0,0.0,0.0,-0.004734611,0.0021786932,0.016702801,0.023914851,-5.7867048e-05,1.3878525e-06,0.0,0.013009359,0.011186253,-0.002307817,0.12447948,0.124535985,nan,0.10222961,0.7188675,0.8121043,1.5051707,0.48087355,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1792000,1792000,0,nan,nan,-0.0019361727,0.0008344874,0.02009956,0.0,0.0,0.0,-0.004228055,0.0024634236,0.017485494,0.025415758,-5.7867048e-05,1.3878525e-06,0.0,0.0014356972,-0.021720167,0.026376545,0.12448747,0.124535985,nan,0.1,0.572859,0.7830327,1.3175019,0.48599976,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1904000,1904000,0,nan,nan,-0.0020723168,0.00090986287,0.02239499,0.0,0.0,0.0,-0.0038472868,0.0023574838,0.015557318,0.022886775,-5.7867048e-05,1.3878525e-06,0.0,0.027776396,0.010208199,0.019174067,0.12451225,0.124535985,nan,0.1,0.69306743,0.7628793,1.4873741,0.49299473,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
1991000,1991000,0,nan,nan,-0.0020003691,0.00095519505,0.023160456,0.0,0.0,0.0,-0.004187724,0.0023919612,0.016243793,0.022218097,-5.7867048e-05,1.3878525e-06,0.0,-0.009110119,-0.012754247,0.035834495,0.1245165,0.124535985,nan,0.1,0.56398493,0.7442223,1.3488864,0.49824587,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,1,2
